,ARSON,BURGLARY,COUNTY,FAMILY,GANG,INSTITUTIONAL,MULT_VICTIMS,RAPE,ROBBERY,SNIPER,YEAR
409,0,0,64,4,0,1,5,0,4,0,2006
410,0,0,66,3,0,0,2,0,0,0,2015
411,0,0,66,7,0,0,0,0,0,0,2014
412,0,0,66,0,1,0,2,0,0,0,2013
413,0,0,66,4,0,0,3,0,0,0,2012
414,0,0,66,4,0,0,2,0,0,0,2011
415,0,0,66,2,0,0,4,0,0,0,2010
416,1,0,66,2,0,0,1,0,0,0,2009
417,0,0,66,2,0,0,5,0,0,0,2008
418,0,0,66,3,0,0,5,0,0,0,2007
419,0,1,66,6,0,0,5,0,0,0,2006
420,0,2,70,4,0,0,6,0,0,0,2015
421,0,0,70,8,1,0,2,0,0,0,2014
422,0,0,70,6,4,0,2,0,4,0,2013
423,0,0,70,4,1,0,5,0,0,0,2012
424,0,0,70,2,0,0,3,0,0,0,2011
425,0,0,70,4,0,0,1,0,5,0,2010
426,0,0,70,4,0,0,4,0,1,0,2009
427,0,1,70,7,0,0,2,0,1,0,2008
428,0,0,70,3,0,0,4,0,2,0,2007
429,0,0,70,7,0,0,4,0,4,0,2006
430,0,2,72,8,9,0,8,0,25,0,2015
431,0,0,72,11,3,0,7,0,4,0,2014
432,0,0,72,10,1,0,12,0,11,0,2013
433,0,5,72,18,0,4,11,1,15,0,2012
434,0,0,72,7,3,0,16,0,10,0,2011
435,0,1,72,11,4,0,7,0,10,0,2010
436,0,1,72,11,9,0,13,0,9,0,2009
437,2,0,72,12,3,0,14,0,14,0,2008
438,0,0,72,15,0,0,25,1,11,0,2007
439,0,0,72,14,3,0,8,0,12,0,2006
440,0,0,73,3,0,0,4,0,1,0,2015
441,0,0,73,8,0,0,3,0,0,0,2014
442,0,0,73,4,6,0,8,0,0,0,2013
443,0,0,73,4,4,0,9,0,0,0,2012
444,0,0,73,5,3,0,3,0,1,0,2011
445,0,0,73,3,2,0,6,0,0,0,2010
446,0,0,73,10,2,0,6,0,0,0,2009
447,0,0,73,7,0,0,4,0,1,0,2008
448,0,0,73,7,0,0,7,0,1,0,2007
449,0,0,73,5,3,0,6,0,0,0,2006
450,0,2,1,33,7,2,31,0,33,0,2015
451,0,4,1,43,4,1,22,4,22,0,2014
452,0,0,1,35,0,3,26,2,25,0,2013
453,0,1,1,34,3,2,34,1,27,0,2012
454,0,1,1,24,8,4,42,1,29,0,2011
455,0,3,1,32,6,0,47,2,25,0,2010
456,0,1,1,35,1,1,18,0,25,0,2009
457,1,0,1,35,0,1,26,0,18,0,2008
458,0,0,1,32,2,0,23,1,26,0,2007
459,1,2,1,34,8,0,33,3,24,0,2006
460,0,1,20,18,1,0,7,0,9,0,2015
461,0,0,20,11,0,0,7,0,11,0,2014
462,0,0,20,13,0,0,3,0,1,0,2013
463,0,4,20,13,1,0,8,0,4,0,2012
464,0,3,20,9,0,0,4,0,11,0,2011
465,0,0,20,12,0,1,14,0,5,0,2010
466,0,0,20,18,2,0,5,0,7,0,2009
467,0,2,20,12,0,0,12,0,3,0,2008
468,0,0,20,12,0,0,10,1,8,0,2007
469,0,0,20,16,0,0,15,0,9,0,2006
470,0,1,27,22,14,0,18,1,14,0,2015
471,0,1,27,14,3,0,17,0,5,0,2014
472,0,0,27,16,0,0,24,0,12,0,2013
473,0,5,27,22,1,1,18,0,21,0,2012
474,0,3,27,24,2,0,12,0,7,0,2011
475,0,0,27,15,9,0,19,0,1,0,2010
476,0,0,27,11,2,0,30,0,7,0,2009
477,0,3,27,22,0,0,18,0,6,0,2008
478,0,1,27,27,5,0,17,0,12,0,2007
479,0,1,27,18,8,0,14,0,22,0,2006
480,0,0,30,17,2,1,9,0,8,0,2015
481,0,2,30,18,7,1,9,0,2,0,2014
482,0,0,30,23,0,0,7,1,5,0,2013
483,1,0,30,22,0,0,17,0,1,0,2012
484,0,1,30,36,1,0,19,0,5,0,2011
485,0,2,30,30,5,0,8,0,14,0,2010
486,1,1,30,37,10,0,19,0,14,0,2009
487,0,2,30,29,0,0,10,0,12,0,2008
488,0,3,30,19,0,0,20,1,26,0,2007
489,0,2,30,17,7,4,17,1,11,0,2006
490,0,2,31,23,0,0,10,0,6,0,2015
491,0,0,31,13,1,0,15,0,4,0,2014
492,0,2,31,18,0,0,17,0,13,0,2013
493,0,3,31,14,1,0,20,0,14,0,2012
494,1,1,31,16,0,0,19,1,13,0,2011
495,0,3,31,16,0,0,11,0,3,0,2010
496,0,4,31,9,0,0,15,4,6,0,2009
497,0,3,31,14,1,0,14,0,8,0,2008
498,0,2,31,27,2,0,15,0,10,0,2007
499,0,1,31,15,6,0,15,1,27,0,2006
500,0,1,33,20,10,2,17,0,11,0,2015
501,0,0,33,28,4,1,24,1,5,0,2014
502,0,2,33,36,0,1,21,0,8,0,2013
503,0,1,33,26,0,0,13,0,9,0,2012
504,0,10,33,31,0,2,15,1,6,0,2011
505,0,0,33,16,4,0,23,0,4,0,2010
506,2,0,33,18,0,0,32,0,30,0,2009
507,1,1,33,27,2,0,30,0,12,0,2008
508,0,0,33,25,0,0,19,1,8,0,2007
509,0,0,33,18,0,0,22,1,9,0,2006
510,0,0,38,13,0,0,8,0,0,0,2015
511,0,0,38,15,0,0,8,0,5,0,2014
512,0,0,38,7,1,0,3,0,2,0,2013
513,0,0,38,9,2,0,10,0,6,0,2012
514,0,0,38,7,2,0,6,0,1,0,2011
515,0,7,38,17,0,0,8,2,5,0,2010
516,0,1,38,15,0,0,3,0,9,0,2009
517,0,1,38,14,0,0,11,0,3,0,2008
518,0,3,38,13,0,0,7,0,3,0,2007
519,0,0,38,8,6,0,8,0,18,0,2006
520,0,1,39,17,3,0,13,0,7,0,2015
521,0,3,39,13,4,0,15,0,5,0,2014
522,0,3,39,25,2,0,14,1,4,0,2013
523,0,0,39,23,2,0,18,1,12,0,2012
524,0,0,39,13,6,0,14,0,9,0,2011
525,0,4,39,17,8,0,12,2,18,0,2010
526,0,0,39,17,8,0,8,0,12,0,2009
527,1,0,39,7,5,0,12,0,13,0,2008
528,1,0,39,15,5,0,16,1,0,0,2007
529,0,0,39,12,2,0,14,2,11,0,2006
530,0,1,40,14,0,0,22,0,4,0,2015
531,0,0,40,21,1,0,29,0,9,0,2014
532,0,5,40,19,9,0,18,0,13,0,2013
533,0,2,40,17,7,0,17,1,21,0,2012
534,0,9,40,26,3,0,17,0,18,0,2011
535,0,3,40,22,0,0,15,0,11,0,2010
536,0,2,40,19,1,1,12,0,10,0,2009
537,0,0,40,24,2,0,23,0,5,0,2008
538,0,10,40,22,21,0,31,0,2,0,2007
539,0,2,40,20,4,0,20,0,13,0,2006
540,0,0,41,5,0,0,12,0,0,0,2015
541,0,0,41,8,0,0,5,0,0,0,2014
542,0,0,41,14,0,0,7,0,0,0,2013
543,0,1,41,9,0,0,2,0,4,0,2012
544,0,0,41,8,0,0,19,0,1,0,2011
545,0,0,41,10,0,0,7,0,0,0,2010
546,0,2,41,10,1,0,7,0,0,0,2009
547,0,0,41,9,0,0,9,0,0,0,2008
